step,actor_loss,critic_loss,rewards,,,,
,,,,,,1.52061069,50
,,,,,,1.526527762,49
,,,,,,1.503945351,48
,,,,,,1.497354031,47
,,,,,,1.463659286,46
,,,,,,1.465784431,45
,,,,,,1.440331459,44
,,,,,,1.417277813,43
,,,,,,1.402546644,42
,,,,,,1.392010093,41
,,,,,,1.442943573,40
,,,,,,1.353768229,39
,,,,,,1.349059343,38
,,,,,,1.361908078,37
,,,,,,1.355551362,36
,,,,,,1.291580439,35
,,,,,,1.337598443,34
,,,,,,1.328410268,33
,,,,,,1.29179585,32
,,,,,,1.28085351,31
,,,,,,1.313418269,30
,,,,,,1.252991557,29
,,,,,,1.268320322,28
,,,,,,1.223292232,27
,,,,,,1.232737899,26
,,,,,,1.198370337,25
,,,,,,1.220995069,24
,,,,,,1.179954648,23
,,,,,,1.163192391,22
,,,,,,1.159662366,21
,,,,,,1.178833723,20
,,,,,,1.162856936,19
,,,,,,1.159134984,18
,,,,,,1.212322593,17
,,,,,,1.221120238,16
,,,,,,1.207629442,15
,,,,,,1.19766736,14
,,,,,,1.220096111,13
,,,,,,1.215361238,12
,,,,,,1.218215108,11
,,,,,,1.229421139,10
,,,,,,1.219929576,9
,,,,,,1.235564232,8
,,,,,,1.211672187,7
,,,,,,1.225947022,6
,,,,,,1.255793571,5
,,,,,,1.256882071,4
,,,,,,1.275913715,3
,,,,,,1.264076829,2
,,,,,,1.34528327,1
